"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2016";"3960838";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2017";"3984910";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2018";"3983440";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2019";"4079918";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2020";"4216300";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2021";"4209961";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2022";"4256497";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2023";"4141784";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2024";"4115168";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2025";"4040199";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2014";"1658713";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2015";"1673548";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"5";"Hanehalkı sayısı";"2016";"1698403";"";"";"";"";""
