"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2025";"2,64826850112217";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2008";"3,5";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2009";"3,54740774249511";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2010";"3,4087430339461";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2011";"3,3545195004253";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2012";"3,31638509613632";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2013";"3,28240423810561";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2014";"3,25892465279586";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2015";"3,23901620618262";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2016";"3,22787181717918";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2017";"3,21632868924257";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2018";"3,19117529466328";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2019";"3,16984858867779";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2020";"3,14582661266234";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2021";"3,0957264859321";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2022";"3,05566902201066";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2023";"3,04508747237222";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2024";"3,02826425808619";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tekirdağ";"Ortalama hanehalkı büyüklüğü";"2025";"2,99320893239523";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2008";"3,1";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2009";"3,07080878326128";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2010";"2,9830929992354";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Balıkesir";"Ortalama hanehalkı büyüklüğü";"2011";"2,93102029477745";"";"";"";"";""
