"Coğrafi Kapsam";"Gözlem Sıklığı";"İstatistiksel Gösterge";"İkamet edilen yer";"Hanehalkı tipi";"ADNKS Gösterge";"Zaman";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2023";"933764";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2024";"943363";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2025";"981614";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2014";"2638832";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2015";"2679312";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2016";"2690870";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2017";"2724515";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2018";"2737652";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2019";"2843735";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2020";"2913809";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2021";"2943033";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2022";"2983664";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2023";"2956558";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2024";"2971981";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Çekirdek Aileden Oluşan Hanehalkı";"Hanehalkı sayısı";"2025";"2981684";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2014";"668881";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2015";"697588";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2016";"713128";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2017";"718134";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2018";"701835";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2019";"689977";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2020";"655277";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2021";"652823";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2022";"660604";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2023";"668541";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2024";"676243";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"En Az Bir Çekirdek Aile Ve Diğer Kişilerden Oluşan Hanehalkı";"Hanehalkı sayısı";"2025";"685579";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2014";"120214";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2015";"128348";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2016";"152710";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2017";"168186";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2018";"195439";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2019";"223358";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2020";"201876";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2021";"262236";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2022";"276194";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2023";"269052";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2024";"264132";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2025";"268882";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2014";"3973852";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Toplam";"Hanehalkı sayısı";"2015";"4070121";"";"";"";"";""
